date,price
25/01/2017,1598.3566
26/01/2017,1636.7456
27/01/2017,1640.5575
28/01/2017,1645.5504
29/01/2017,1635.4715
30/01/2017,1650.1427
31/01/2017,1726.5128
1/02/2017,1757.5502
2/02/2017,1793.8625
3/02/2017,1805.895
4/02/2017,1838.7469
5/02/2017,1811.0271
6/02/2017,1824.0514
7/02/2017,1869.7784
8/02/2017,1874.8011
9/02/2017,1749.5577
10/02/2017,1770.2332
11/02/2017,1802.8493
12/02/2017,1785.537
13/02/2017,1777.5519
14/02/2017,1816.9718
15/02/2017,1815.2346
16/02/2017,1856.1139
17/02/2017,1890.0385
18/02/2017,1893.0734
19/02/2017,1885.2453
20/02/2017,1930.2359
21/02/2017,2001.0113
22/02/2017,1997.0609
23/02/2017,2103.6233
24/02/2017,2094.7829
25/02/2017,2047.8084
26/02/2017,2108.3346
27/02/2017,2135.8278
28/02/2017,2134.4765
1/03/2017,2215.2274
2/03/2017,2291.562
3/03/2017,2345.5074
4/03/2017,2300.9426
5/03/2017,2317.5413
6/03/2017,2332.0255
7/03/2017,2248.3917
8/03/2017,2090.5582
9/03/2017,2172.7785
10/03/2017,2037.3101
11/03/2017,2206.0209
12/03/2017,2305.0949
13/03/2017,2375.3753
14/03/2017,2390.4943
15/03/2017,2469.0966
16/03/2017,2445.1497
17/03/2017,2251.3058
18/03/2017,1977.2316
19/03/2017,2183.4574
20/03/2017,2180.8485
21/03/2017,2306.7613
22/03/2017,2182.7473
23/03/2017,2192.2943
24/03/2017,2119.5846
25/03/2017,2150.2132
26/03/2017,2126.4296
27/03/2017,2255.3701
28/03/2017,2274.1598
29/03/2017,2287.4
30/03/2017,2298.2858
31/03/2017,2373.523
1/04/2017,2393.6987
2/04/2017,2514.0418
3/04/2017,2458.3335
4/04/2017,2465.4487
5/04/2017,2503.7538
6/04/2017,2558.8871
7/04/2017,2558.8733
8/04/2017,2566.7891
9/04/2017,2569.9668
10/04/2017,2591.4474
11/04/2017,2614.8056
12/04/2017,2641.4383
13/04/2017,2601.9774
14/04/2017,2597.4853
15/04/2017,2610.9407
16/04/2017,2614.7439
17/04/2017,2644.0348
18/04/2017,2681.2315
19/04/2017,2654.4477
20/04/2017,2723.4468
21/04/2017,2729.8393
22/04/2017,2729.5935
23/04/2017,2743.7545
24/04/2017,2753.6205
25/04/2017,2778.7401
26/04/2017,2855.8791
27/04/2017,3022.0188
28/04/2017,3126.6507
29/04/2017,3174.9687
30/04/2017,3279.4016
1/05/2017,3332.3268
2/05/2017,3393.7582
3/05/2017,3547.6184
4/05/2017,3783.4591
5/05/2017,3850.6484
6/05/2017,4030.5076
7/05/2017,4170.1834
8/05/2017,4502.1552
9/05/2017,4428.1552
10/05/2017,4612.8447
11/05/2017,4687.2492
12/05/2017,4605.2781
13/05/2017,4722.3964
14/05/2017,4798.106
15/05/2017,4809.9595
16/05/2017,4809.9595
17/05/2017,5491.9782
18/05/2017,5672.183
19/05/2017,5997.8082
20/05/2017,6194.4835
21/05/2017,6480.9574
22/05/2017,6520.2952
23/05/2017,7153.1381
24/05/2017,7518.1055
25/05/2017,6928.0138
26/05/2017,6619.1947
27/05/2017,6083.2353
28/05/2017,6522.0835
29/05/2017,6863.3305
30/05/2017,6868.9937
31/05/2017,7313.2238
1/06/2017,7787.9036
2/06/2017,7940.3604
3/06/2017,7975.5856
4/06/2017,8246.0379
5/06/2017,8594.7981
6/06/2017,9073.5204
7/06/2017,8589.5704
8/06/2017,8893.5484
9/06/2017,9092.9783
10/06/2017,9636.3011
11/06/2017,9944.8174
12/06/2017,9732.8915
13/06/2017,9868.5088
14/06/2017,9067.9132
15/06/2017,8879.2891
16/06/2017,9162.9028
17/06/2017,9741.4797
18/06/2017,9487.4316
19/06/2017,9736.0222
20/06/2017,10024.2944
21/06/2017,9510.896
22/06/2017,9545.9103
23/06/2017,9736.2676
24/06/2017,9239.9526
25/06/2017,8932.8806
26/06/2017,8299.5241
27/06/2017,8566.3382
28/06/2017,9044.4825
29/06/2017,8791.3332
30/06/2017,8471.9145
1/07/2017,8094.9447
2/07/2017,8475.1344
3/07/2017,8560.3481
4/07/2017,8594.1979
5/07/2017,8550.8778
6/07/2017,8553.7526
7/07/2017,7951.6567
8/07/2017,8130.5318
9/07/2017,7917.2507
10/07/2017,7136.9841
11/07/2017,6875.7904
12/07/2017,7393.3204
13/07/2017,7146.6939
14/07/2017,6736.2475
15/07/2017,6032.4887
16/07/2017,5623.1799
17/07/2017,6531.0171
18/07/2017,7164.8203
19/07/2017,6714.1465
20/07/2017,7905.0692
21/07/2017,7692.374
22/07/2017,8198.2745
23/07/2017,8002.2046
24/07/2017,8033.3077
25/07/2017,7395.4403
26/07/2017,7247.4059
27/07/2017,7500.8149
28/07/2017,7818.2469
29/07/2017,7588.3393
30/07/2017,7476.4937
