DATE,DTB4WK
16/06/2016,0.23
17/06/2016,0.22
20/06/2016,0.22
21/06/2016,0.25
22/06/2016,0.25
23/06/2016,0.27
24/06/2016,0.24
27/06/2016,0.21
28/06/2016,0.25
29/06/2016,0.18
30/06/2016,0.19
1/07/2016,0.23
4/07/2016,.
5/07/2016,0.27
6/07/2016,0.26
7/07/2016,0.27
8/07/2016,0.26
11/07/2016,0.27
12/07/2016,0.29
13/07/2016,0.29
14/07/2016,0.29
15/07/2016,0.26
18/07/2016,0.25
19/07/2016,0.29
20/07/2016,0.27
21/07/2016,0.28
22/07/2016,0.28
25/07/2016,0.27
26/07/2016,0.24
27/07/2016,0.24
28/07/2016,0.18
29/07/2016,0.18
1/08/2016,0.19
2/08/2016,0.28
3/08/2016,0.26
4/08/2016,0.24
5/08/2016,0.23
8/08/2016,0.26
9/08/2016,0.27
10/08/2016,0.27
11/08/2016,0.27
12/08/2016,0.27
15/08/2016,0.25
16/08/2016,0.27
17/08/2016,0.27
18/08/2016,0.27
19/08/2016,0.27
22/08/2016,0.23
23/08/2016,0.28
24/08/2016,0.28
25/08/2016,0.27
26/08/2016,0.27
29/08/2016,0.24
30/08/2016,0.23
31/08/2016,0.26
1/09/2016,0.26
2/09/2016,0.24
5/09/2016,.
6/09/2016,0.24
7/09/2016,0.25
8/09/2016,0.25
9/09/2016,0.23
12/09/2016,0.22
13/09/2016,0.25
14/09/2016,0.24
15/09/2016,0.19
16/09/2016,0.19
19/09/2016,0.14
20/09/2016,0.17
21/09/2016,0.12
22/09/2016,0.1
23/09/2016,0.09
26/09/2016,0.1
27/09/2016,0.16
28/09/2016,0.14
29/09/2016,0.11
30/09/2016,0.19
3/10/2016,0.24
4/10/2016,0.28
5/10/2016,0.26
6/10/2016,0.25
7/10/2016,0.25
10/10/2016,.
11/10/2016,0.26
12/10/2016,0.25
13/10/2016,0.26
14/10/2016,0.25
17/10/2016,0.23
18/10/2016,0.26
19/10/2016,0.24
20/10/2016,0.24
21/10/2016,0.24
24/10/2016,0.21
25/10/2016,0.22
26/10/2016,0.25
27/10/2016,0.18
28/10/2016,0.17
31/10/2016,0.18
1/11/2016,0.24
2/11/2016,0.23
3/11/2016,0.23
4/11/2016,0.24
7/11/2016,0.26
8/11/2016,0.28
9/11/2016,0.29
10/11/2016,0.29
11/11/2016,.
14/11/2016,0.29
15/11/2016,0.3
16/11/2016,0.31
17/11/2016,0.29
18/11/2016,0.27
21/11/2016,0.25
22/11/2016,0.34
23/11/2016,0.34
24/11/2016,.
25/11/2016,0.33
28/11/2016,0.3
29/11/2016,0.34
30/11/2016,0.37
1/12/2016,0.31
2/12/2016,0.32
5/12/2016,0.31
6/12/2016,0.34
7/12/2016,0.37
8/12/2016,0.38
9/12/2016,0.39
12/12/2016,0.4
13/12/2016,0.46
14/12/2016,0.48
15/12/2016,0.47
16/12/2016,0.45
19/12/2016,0.44
20/12/2016,0.47
21/12/2016,0.45
22/12/2016,0.41
23/12/2016,0.41
26/12/2016,.
27/12/2016,0.49
28/12/2016,0.47
29/12/2016,0.38
30/12/2016,0.43
2/01/2017,.
3/01/2017,0.51
4/01/2017,0.48
5/01/2017,0.5
6/01/2017,0.49
